SiO2,TiO2,Al2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Cr,Hf,Nb,Ni,Rb,Sr,Ta,Th,U,Y,Zr,Tectonic_Setting,LATITUDE,LONGITUDE
50.78,2.05,13.48,11.76,0.2,6.87,11.31,2.74,0.2,0.18,3.99,13.0,2.4,12.2,4.24,1.47,5.72,1.02,7.12,1.48,4.4,0.658,4.16,0.626,8.6,232.0,3.3,3.13,89.1,2.29,84.6,0.247,0.189,0.29,40.1,117.0,MORB,20.838,-109.09
52.0033333333333,1.7866666666666668,14.643333333333333,10.396666666666667,0.20433333333333334,6.036666666666666,10.15,3.0500000000000003,0.34896666666666665,0.19709999999999997,6.837235548911444,17.35078413292101,2.524769054971286,12.515564386702769,3.851001469631004,1.3660020425553323,4.992531378575261,0.8616382237182106,5.769148184738576,1.225074088531784,3.5646945802410244,0.5031185169453178,3.4190996074505176,0.49567403672949206,46.53271228322702,107.15173926724508,2.8819047151642523,6.708416907962114,47.266107934032824,5.351619886504835,146.2431307016814,0.4095227067763329,0.633122567872422,0.17580313124245864,31.86108112359544,109.89277619656775,MORB,-14.17,66.1
51.75333333333333,1.4551333333333334,15.106666666666667,9.46,0.1552,7.033333333333332,10.76,2.89,0.2741,0.16240000000000002,5.797556166409365,15.253704023590279,2.2565049673858772,11.308678819223678,3.5212952102863415,1.2324830532893987,4.4654878767384885,0.7879324249451454,5.2276791904967865,1.122801776168768,3.2750135842594386,0.45638619211848347,3.1771552933632896,0.45801746874325744,38.4172643978286,183.86833225496056,2.6051842458825756,5.5076299466188345,76.33249045942448,4.551080639177399,136.92458996956466,0.3351329372765579,0.5101640461567856,0.1487761525152558,29.083421213303584,97.28588069202829,MORB,-14.17,66.1
52.165,1.6532499999999999,14.825,10.15,0.1676,6.365,10.254999999999999,3.08,0.34525,0.1809,7.027764038989208,18.012973700080682,2.610761658701122,13.226704949803603,4.081606176175825,1.4079164579810375,5.197943637588115,0.9122710588457742,6.017819718914368,1.2950170874868767,3.774130688709537,0.5249107503319868,3.6264768461958496,0.5259200285740396,46.494525529123564,136.81077231560195,2.973741610164614,6.86986314856362,63.213872081744,5.599813100447391,139.15529419498662,0.4133195113487291,0.6433497015712139,0.17967265386342965,33.318390255422635,113.75699911228541,MORB,-14.17,66.1
51.24333333333333,1.5337666666666667,14.886666666666668,10.106666666666667,0.17700000000000002,6.3,11.026666666666666,2.8800000000000003,0.47323333333333334,0.1818666666666667,9.560621028947402,21.744228571906703,2.919958190469435,13.569204881201363,3.84123195040889,1.3607716334719278,4.823169110549948,0.832244316225797,5.4944423616557145,1.1793133704355396,3.407075997143611,0.48712043712135555,3.325620937940743,0.48965484751265276,81.8923500480024,102.55174309681638,2.719302990144184,10.389970974280315,48.066349911737966,10.47137965934972,157.0641278566784,0.6109539606157844,1.1882923599219186,0.2967291858300336,30.904113105972385,103.79171337449533,MORB,-14.33,66.12
51.096666666666664,1.5280666666666667,15,9.846666666666666,0.17763333333333334,6.420000000000001,11.08,2.84,0.4501,0.168,9.23313354260769,21.180659016424624,2.8529858922580456,13.276518763810245,3.770161354278375,1.3217775480006855,4.7042421013070586,0.8156561130807866,5.386597998531836,1.1614290387021544,3.3517424994961815,0.4787340948735932,3.2711979700509524,0.47735643448740395,80.05169710481542,155.33403247953825,2.6809118659790285,10.048090164975124,51.77717628214844,9.974193614170492,153.82755910237853,0.5786764194770927,1.1545769363413483,0.27551500719391303,30.2797459677461,100.72436229737701,MORB,-14.33,66.12
51.14666666666667,1.5365666666666666,14.873333333333335,10.136666666666668,0.17513333333333334,6.29,10.969999999999999,2.8633333333333333,0.4813,0.1883,9.524131443189436,21.944322120388417,2.957658658069405,13.790171749968977,3.8973873392514835,1.3888307734418788,4.957604788516623,0.8446418836169957,5.618060360315749,1.2175581476970694,3.5451655407390343,0.49554321734304296,3.3846864264117777,0.5003976732026538,83.1528671102306,113.3395210133812,2.7951893040222724,10.361362889477855,47.11391612972296,10.222594385237388,156.17381845218694,0.5989704946460614,1.227982486707119,0.29296444536958255,30.834951633492224,103.87639406360567,MORB,-14.33,66.12
50.88999999999999,1.0290666666666668,15.893333333333333,8.506666666666666,0.15603333333333333,8.106666666666667,11.926666666666668,2.45,0.25453333333333333,0.10943333333333333,4.7356505423863915,11.373811426990008,1.607150502485359,8.053032648520213,2.4963525739448027,0.9283372591794993,3.193765565667679,0.5664141904833794,3.733838774530995,0.8101695753170316,2.362957155838922,0.33096562703820964,2.268822111750207,0.3358794682067024,42.172192904480724,369.16863440638275,1.705573086440931,4.932898840771208,119.97619564732584,4.854519390715219,138.73328680103768,0.2956517521144077,0.5126484137842767,0.13061667414066835,21.259657599559784,61.948737647679856,MORB,-14.48,66.23
50.60666666666666,1.1920666666666666,15.979999999999999,8.173333333333334,0.14803333333333332,7.646666666666666,11.74,2.5666666666666664,0.5203333333333333,0.1561,9.194531049986539,20.00661939885607,2.5520173537688238,11.209928145381392,3.009649486392135,1.0936206046957624,3.5481514283927034,0.6036301553853228,3.891957405332429,0.8423858787939805,2.4104763320962155,0.341818230000235,2.256652368498741,0.3410897737172614,91.76672671780538,321.9690039975893,2.1289913716493536,10.868292520543662,114.45911718386009,11.022923860543122,186.72920346216134,0.6303817507115316,1.23118584968387,0.30752387880739307,21.41969112683482,80.48757772773855,MORB,-14.48,66.23
50.663333333333334,1.2061333333333333,16.073333333333334,8.33,0.10826666666666666,7.616666666666667,11.836666666666666,2.603333333333333,0.5163000000000001,0.16496666666666665,9.492342500239848,20.4882527020585,2.6170835823772793,11.595664653682443,3.036804026265724,1.096990899109285,3.631069268179892,0.628318421064693,4.007863451703158,0.8538990540833392,2.4489884757914546,0.3426528527258384,2.331969437845999,0.339611071644327,94.21840487756343,329.85800944027415,2.1098631253964375,11.15670379114841,102.37882720818031,11.4525417525995,184.02216092943434,0.6429345317150904,1.2328232699438917,0.30790151674072413,22.249678919169373,83.72546131123663,MORB,-14.48,66.23
