SiO2,TiO2,Al2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Cr,Hf,Nb,Ni,Rb,Sr,Ta,Th,U,Y,Zr,Tectonic_Setting,LATITUDE,LONGITUDE
52.04,1.74,14.95,9.96,0.187,7.13,10.56,2.98,0.275,0.18,7.56,19.62,2.83,14.14,4.37,1.61,5.48,0.94,6.22,1.31,3.81,0.54,3.58,0.53,64.7,203,3.21,9.32,87,5.16,165,0.536,0.556,0.165,36,127,MORB,15.41,-46.68
52.11,1.74,14.98,9.94,0.185,7.06,10.56,2.96,0.275,0.184,7.8,19.96,2.92,14.67,4.52,1.65,5.72,0.98,6.46,1.37,3.96,0.56,3.7,0.55,65.8,201,3.37,9.43,84,5.15,166,0.584,0.575,0.168,37,131,MORB,15.41,-46.68
52.71,1.72,14.77,9.85,0.184,6.98,10.36,2.95,0.273,0.187,7.25,19.22,2.73,13.6,4.18,1.55,5.2,0.89,5.89,1.25,3.6,0.51,3.4,0.5,63.5,200,3.05,9.02,85,5.14,160,0.514,0.53,0.161,34,121,MORB,15.41,-46.68
52.67,1.73,14.73,9.94,0.185,7.03,10.32,2.94,0.272,0.19,7.24,19.11,2.7,13.55,4.19,1.56,5.23,0.89,5.95,1.25,3.62,0.52,3.42,0.51,63.5,200,3.09,8.89,86,5.02,163,0.518,0.534,0.161,34,121,MORB,15.41,-46.68
52.45,1.74,14.85,9.98,0.185,7.02,10.38,2.93,0.274,0.193,7.47,19.38,2.79,13.92,4.3,1.59,5.39,0.92,6.1,1.29,3.73,0.53,3.53,0.52,64.4,200,3.17,9.21,84,5.11,164,0.529,0.609,0.181,36,126,MORB,15.41,-46.68
51.94,1.77,14.97,9.99,0.186,7.15,10.54,2.99,0.28,0.184,7.69,19.44,2.87,14.39,4.45,1.6,5.72,0.97,6.46,1.36,3.94,0.56,3.72,0.55,63.3,201,3.29,9.31,85,4.79,162,0.566,0.595,0.168,37,130,MORB,15.41,-46.68
52.38,1.73,14.88,9.87,0.184,7.14,10.39,2.98,0.276,0.187,7.5,19.19,2.81,14.15,4.34,1.56,5.54,0.94,6.26,1.31,3.81,0.54,3.59,0.53,62.7,198,3.18,9.11,88,4.78,159,0.546,0.575,0.164,35,126,MORB,15.41,-46.68
52.5,1.74,14.81,9.89,0.184,7.07,10.36,2.98,0.278,0.188,7.46,19.19,2.78,14,4.33,1.54,5.52,0.94,6.22,1.31,3.81,0.54,3.6,0.53,62.6,198,3.19,9.12,85,4.83,159,0.549,0.572,0.167,36,126,MORB,15.41,-46.68
52.9,1.72,14.6,9.9,0.182,7,10.25,2.98,0.28,0.195,7.2,18.67,2.69,13.49,4.15,1.5,5.33,0.9,5.97,1.26,3.66,0.52,3.47,0.51,61.2,198,3.07,8.81,86,4.58,164,0.53,0.556,0.164,33,118,MORB,15.41,-46.68
52.04,1.76,15.17,9.88,0.183,7.07,10.48,2.97,0.277,0.189,7.73,19.31,2.85,14.42,4.48,1.6,5.81,0.98,6.55,1.38,4.04,0.57,3.78,0.56,63.1,198,3.38,9.28,83,4.81,163,0.579,0.607,0.167,37,132,MORB,15.41,-46.68
52.1,1.79,14.84,10,0.186,7.07,10.54,2.98,0.289,0.185,7.76,19.97,2.92,14.64,4.5,1.62,5.74,0.97,6.46,1.36,3.95,0.55,3.72,0.55,64.6,203,3.3,9.36,80,4.87,161,0.569,0.6,0.173,37,130,MORB,15.41,-46.68
52.39,1.76,14.7,9.98,0.185,7.06,10.45,3,0.284,0.188,7.57,19.67,2.86,14.32,4.36,1.58,5.56,0.94,6.25,1.32,3.8,0.54,3.6,0.53,64.1,201,3.2,9.19,84,4.88,161,0.549,0.581,0.17,36,127,MORB,15.41,-46.68
52.47,1.78,14.66,9.98,0.185,7.01,10.47,2.98,0.284,0.191,7.57,19.56,2.84,14.28,4.39,1.59,5.62,0.95,6.34,1.33,3.88,0.55,3.65,0.54,63.7,203,3.26,9.18,83,4.92,160,0.556,0.592,0.172,36,128,MORB,15.41,-46.68
52.02,1.8,15.03,9.96,0.184,7.06,10.56,2.93,0.28,0.184,7.65,19.58,2.86,14.41,4.42,1.59,5.69,0.97,6.41,1.35,3.91,0.56,3.68,0.55,63.8,202,3.31,9.19,86,4.83,161,0.578,0.598,0.17,36,128,MORB,15.41,-46.68
51.67,1.8,15.09,10.05,0.186,7.17,10.58,2.98,0.285,0.188,8.16,20.19,2.99,15.23,4.75,1.69,6.18,1.05,6.98,1.47,4.3,0.6,4,0.6,65.7,201,3.63,9.58,87,4.92,168,0.608,0.647,0.176,39,139,MORB,15.41,-46.68
52.2,1.77,14.82,9.93,0.185,7.14,10.48,3,0.286,0.187,7.61,19.6,2.86,14.35,4.4,1.6,5.62,0.95,6.32,1.32,3.87,0.55,3.64,0.54,64.1,201,3.27,9.13,85,4.88,163,0.556,0.594,0.175,36,128,MORB,15.41,-46.68
51.72,1.75,15.09,10.04,0.187,7.18,10.63,2.95,0.26,0.188,7.71,19.42,2.82,14.44,4.51,1.59,5.81,0.99,6.58,1.4,4.06,0.57,3.79,0.57,63.9,203,3.39,9.15,89,4.98,162,0.565,0.593,0.185,38,133,MORB,15.412,-46.682
51.65,1.77,14.91,10.11,0.189,7.21,10.7,3.01,0.265,0.186,7.88,19.97,2.91,14.69,4.61,1.64,5.91,1.01,6.7,1.42,4.12,0.58,3.86,0.57,65.7,206,3.46,9.4,89,5.11,165,0.573,0.607,0.187,38,134,MORB,15.412,-46.682
52,1.73,15.15,9.9,0.187,6.98,10.7,2.91,0.268,0.179,7.82,20.18,2.95,14.86,4.65,1.66,5.83,1,6.67,1.41,4.1,0.59,3.89,0.57,66.4,203,3.43,9.55,86,5.06,167,0.577,0.601,0.176,37,132,MORB,15.41,-46.68
52.04,1.36,15.23,9.43,0.178,7.88,10.81,2.73,0.197,0.141,10.41,26.35,3.71,18.77,5.7,1.95,7.26,1.23,8.14,1.71,5,0.7,4.67,0.69,84.8,274,4.37,13.1,115,7.27,149,0.782,0.834,0.271,46,168,MORB,15.438,-46.601
51.43,1.35,15.5,9.28,0.176,8.14,11.05,2.66,0.233,0.183,9.13,21.13,2.8,13.54,3.92,1.43,4.96,0.84,5.55,1.17,3.43,0.48,3.18,0.47,67.8,310,2.75,9.87,124,5.05,161,0.582,0.818,0.262,31,105,MORB,15.443,-46.577
52.26,1.17,15.56,8.81,0.172,7.6,11.59,2.59,0.133,0.114,4.24,11.66,1.78,9.3,3.05,1.19,4.09,0.72,4.75,1.01,2.95,0.41,2.76,0.41,34.6,348,2.17,4.7,72,2.65,129,0.297,0.31,0.103,26,77,MORB,15.446,-35.591
52.31,1.62,14.97,10.19,0.189,7.12,10.2,2.89,0.302,0.21,9.16,22.78,3.2,16.15,4.93,1.72,6.36,1.08,7.07,1.5,4.36,0.62,4.04,0.6,76.2,207,3.78,11.36,93,6.39,150,0.704,0.768,0.239,39,143,MORB,15.477,-46.556
52.31,1.62,15.15,10.08,0.188,6.87,10.42,2.88,0.292,0.203,8.24,20.47,2.82,14.01,4.25,1.52,5.44,0.93,6.09,1.28,3.74,0.52,3.47,0.51,75.5,211,3.16,10.49,81,5.99,151,0.635,0.701,0.223,34,120,MORB,15.479,-46.559
52.2,1.36,15.17,9.27,0.176,8.03,10.65,2.71,0.267,0.169,5.79,15.08,2.17,11.12,3.56,1.36,4.69,0.81,5.37,1.13,3.32,0.46,3.06,0.46,50,317,2.56,6.71,135,3.77,147,0.411,0.447,0.158,30,95,MORB,15.492,-46.537
52.23,1.4,15.08,9.46,0.179,7.96,10.52,2.72,0.271,0.178,7.62,19,2.61,12.9,3.88,1.41,4.93,0.83,5.45,1.15,3.34,0.47,3.1,0.46,71.7,303,2.83,9.85,132,5.75,150,0.582,0.649,0.211,30,108,MORB,15.497,-46.541
51.75,1.41,15.03,9.7,0.183,8.31,10.58,2.71,0.18,0.137,5.73,15.03,2.22,11.59,3.82,1.42,5.04,0.89,5.91,1.25,3.65,0.52,3.45,0.5,46.1,318,2.81,6.25,142,3.53,137,0.389,0.433,0.137,33,102,MORB,15.499,-46.66
51.35,1.78,15.19,10.12,0.188,7.19,10.76,2.97,0.262,0.189,7.94,20.05,2.92,14.89,4.66,1.66,5.97,1.02,6.78,1.43,4.14,0.59,3.86,0.58,66.6,205,3.5,9.41,88,5.14,166,0.575,0.612,0.187,38,135,MORB,15.5,-46.668
51.45,1.69,15.23,9.85,0.182,7.47,10.72,2.93,0.289,0.19,4.51,11.84,1.6,7.56,2.19,0.87,2.43,0.41,2.78,0.58,1.66,0.24,1.63,0.24,46.6,267,1.38,6.19,109,3.54,141,0.332,0.403,0.141,14,52,MORB,15.5,-46.668
51.11,1.65,15.07,9.91,0.184,8.05,10.64,2.91,0.282,0.186,8.16,19.98,2.87,14.52,4.52,1.62,5.83,1,6.59,1.4,4.05,0.57,3.77,0.56,73.4,275,3.4,10.03,133,5.7,168,0.626,0.682,0.204,37,129,MORB,15.5,-46.668
51.57,1.4,15.5,9.26,0.175,8.05,10.87,2.69,0.3,0.167,7.83,19.17,2.66,13,3.85,1.41,4.76,0.81,5.35,1.13,3.28,0.46,3.11,0.46,79.3,289,2.79,10.61,125,6.23,171,0.644,0.749,0.23,29,106,MORB,15.5,-46.608
51.16,1.56,15.11,9.38,0.171,7.9,11.14,3.03,0.329,0.227,6.7,16.35,2.24,10.78,3.19,1.22,3.86,0.66,4.33,0.91,2.66,0.38,2.51,0.37,68.3,278,2.27,9.49,121,6.21,156,0.527,0.757,0.217,30,93,MORB,15.5,-46.61
51.34,1.42,15.52,9.22,0.175,8.1,11,2.75,0.307,0.162,7.82,19.03,2.64,12.87,3.85,1.4,4.71,0.8,5.3,1.12,3.24,0.46,3.08,0.46,79.3,295,2.75,10.64,127,6.2,173,0.646,0.737,0.227,29,107,MORB,15.5,-46.608
51.08,1.45,15.54,9.25,0.176,8.14,11.09,2.79,0.313,0.165,7.92,19.05,2.67,13.15,3.91,1.41,4.85,0.82,5.47,1.15,3.36,0.47,3.18,0.47,79.7,296,2.84,10.73,127,6.24,173,0.658,0.756,0.227,30,109,MORB,15.5,-46.608
51.16,1.56,15.07,9.37,0.17,7.85,11.21,3.04,0.332,0.23,6.76,16.82,2.29,11.12,3.24,1.25,3.92,0.66,4.36,0.92,2.65,0.38,2.52,0.37,70,275,2.3,9.58,121,6.32,155,0.54,0.76,0.23,29,90,MORB,15.5,-46.61
51.59,1.56,14.69,9.84,0.178,7.68,10.93,3.04,0.272,0.212,5.79,14.28,2.07,10.44,3.22,1.22,4.09,0.7,4.61,0.99,2.88,0.41,2.73,0.4,53.2,218,2.33,7.47,109,5.03,130,0.431,0.626,0.173,31,89,MORB,15.5,-46.61
51.65,1.42,15.2,9.73,0.183,7.91,10.78,2.73,0.248,0.155,6.71,17.14,2.47,12.32,3.79,1.42,4.76,0.82,5.48,1.15,3.34,0.48,3.23,0.48,64,228,2.69,8.69,113,5.05,150,0.507,0.581,0.181,31,103,MORB,15.503,-46.614
50.89,1.25,15.95,8.97,0.17,8.5,11.38,2.58,0.185,0.126,5.16,13.59,1.99,10.22,3.25,1.22,4.14,0.71,4.79,1.01,2.93,0.42,2.81,0.42,45.7,367,2.27,6.27,137,3.47,153,0.378,0.422,0.144,26,84,MORB,15.507,-46.621
51.12,1.44,15.31,9.8,0.184,8.36,10.71,2.72,0.208,0.146,6.05,15.87,2.35,12.11,3.91,1.43,5.04,0.87,5.82,1.23,3.57,0.51,3.4,0.51,50.3,316,2.8,7.29,141,3.98,150,0.447,0.494,0.155,33,106,MORB,15.508,-46.625
51.33,1.32,15.35,9.1,0.17,8.63,11,2.49,0.439,0.161,4.48,12.13,1.75,8.69,2.75,1.1,3.39,0.59,3.85,0.84,2.38,0.35,2.26,0.34,39.8,350,1.85,5.59,133,3.71,138,0.327,0.446,0.149,27,73,MORB,15.51,-46.62
50.76,1.29,15.85,9.19,0.174,8.43,11.32,2.68,0.186,0.124,5.3,13.7,2.04,10.61,3.46,1.29,4.57,0.78,5.27,1.13,3.29,0.46,3.11,0.47,44.5,345,2.5,6.21,134,3.44,154,0.386,0.429,0.132,30,93,MORB,15.511,-46.631
51.49,1.23,15.93,8.93,0.171,8.17,11.21,2.59,0.171,0.115,4.83,12.66,1.89,9.8,3.18,1.21,4.09,0.71,4.75,1,2.92,0.41,2.8,0.41,41.7,371,2.21,5.73,124,3.09,150,0.349,0.383,0.125,25,80,MORB,15.512,-46.636
51.61,1.64,15.18,10.22,0.192,7.02,10.87,2.86,0.246,0.166,7.07,18.37,2.7,13.92,4.43,1.59,5.7,0.98,6.57,1.39,4.04,0.57,3.81,0.57,57.6,318,3.23,8.51,83,4.59,152,0.524,0.577,0.18,37,120,MORB,15.512,-46.635
51.82,1.25,15.65,9,0.172,8.04,11.17,2.59,0.181,0.124,4.97,13.3,1.94,9.91,3.13,1.2,4.03,0.7,4.64,0.99,2.86,0.41,2.73,0.4,43.2,343,2.18,6.04,118,3.31,146,0.359,0.39,0.129,26,83,MORB,15.514,-46.636
51.54,1.26,15.78,9.08,0.173,8.09,11.19,2.58,0.179,0.126,5.1,13.39,1.99,10.16,3.25,1.23,4.17,0.73,4.84,1.02,2.98,0.42,2.83,0.42,43.4,340,2.26,6.17,116,3.35,148,0.368,0.401,0.133,27,86,MORB,15.514,-46.636
51.23,1.26,15.88,9.09,0.173,8.25,11.23,2.59,0.178,0.125,5.1,13.35,1.99,10.25,3.27,1.23,4.2,0.73,4.88,1.03,3.04,0.42,2.86,0.42,43.5,340,2.29,6.18,124,3.31,151,0.369,0.406,0.127,27,87,MORB,15.514,-46.636
51.77,1.72,14.87,10.92,0.201,6.94,10.22,2.9,0.284,0.182,8.66,21.55,3.03,15.34,4.79,1.73,6.26,1.08,7.19,1.53,4.49,0.64,4.19,0.62,75.3,151,3.59,10.5,83,5.81,150,0.654,0.723,0.223,40,132,MORB,15.52,-46.679
51.69,1.66,15.19,10.22,0.189,7.3,10.45,2.82,0.296,0.188,8.6,22.39,3.16,15.6,4.71,1.67,5.67,0.98,6.5,1.36,3.96,0.56,3.81,0.56,80.4,265,3.33,11.13,107,6.31,168,0.673,0.772,0.246,35,125,MORB,15.528,-46.704
51.68,1.67,15.13,10.24,0.19,7.34,10.4,2.85,0.315,0.201,9.09,23.4,3.28,16.16,4.88,1.71,5.91,1.01,6.73,1.42,4.14,0.59,3.97,0.59,83.7,245,3.54,11.6,106,6.66,168,0.716,0.844,0.268,36,132,MORB,15.537,-46.702
49.86,1.2,16.29,9.45,0.173,8.94,11.11,2.7,0.171,0.11,4.77,12.51,1.86,9.52,3.1,1.19,4.01,0.69,4.78,1.03,3.04,0.43,2.96,0.45,43.8,345,2.22,5.61,167,3.33,170,0.354,0.411,0.135,26,82,MORB,15.554,-46.699
52.5,1.4,15.23,9.52,0.179,7.49,10.65,2.73,0.176,0.135,5.42,14.72,2.15,11.28,3.69,1.38,4.93,0.85,5.68,1.21,3.55,0.5,3.34,0.49,44.2,331,2.71,6,112,3.5,135,0.359,0.404,0.134,33,103,MORB,15.588,-46.607
52.55,1.4,15.2,9.54,0.179,7.48,10.6,2.73,0.176,0.138,5.51,14.77,2.18,11.37,3.75,1.39,5.03,0.87,5.81,1.23,3.61,0.51,3.39,0.5,44.2,325,2.78,6.04,111,3.5,134,0.368,0.41,0.134,33,103,MORB,15.588,-46.606
52.44,1.43,15.16,9.65,0.181,7.39,10.68,2.75,0.179,0.139,5.79,15.38,2.28,12.04,3.94,1.46,5.25,0.91,6.11,1.29,3.83,0.53,3.55,0.53,46.2,319,2.9,6.26,104,3.6,136,0.386,0.43,0.139,34,109,MORB,15.588,-46.606
52.07,1.96,14.78,11,0.201,6.63,9.73,3.07,0.331,0.236,9.46,23.68,3.31,16.83,5.08,1.76,6.49,1.11,7.22,1.52,4.44,0.63,4.14,0.61,77.8,177,3.9,11.8,89,6.67,147,0.71,0.792,0.248,41,149,MORB,15.596,-46.588
51.33,1.33,15.53,9.31,0.179,7.94,11.46,2.63,0.169,0.119,5.02,13.44,2.05,10.82,3.66,1.37,4.75,0.83,5.71,1.22,3.59,0.51,3.45,0.52,43.4,340,2.57,5.87,112,3.19,136,0.378,0.422,0.136,30,88,MORB,15.616,-46.672
51.25,1.33,15.58,9.34,0.18,7.95,11.44,2.64,0.166,0.121,5.03,13.18,2.03,10.89,3.7,1.37,4.91,0.87,5.96,1.28,3.76,0.54,3.6,0.54,42.5,340,2.72,5.78,111,3.16,136,0.378,0.433,0.132,32,91,MORB,15.616,-46.672
51.7,1.4,15.52,9.4,0.18,7.65,11.17,2.65,0.199,0.136,5.72,15.26,2.27,11.64,3.78,1.39,4.8,0.84,5.68,1.21,3.54,0.5,3.41,0.51,51,340,2.69,7.01,105,3.85,145,0.437,0.498,0.162,30,94,MORB,15.617,-46.666
51.41,1.39,15.53,9.48,0.182,7.62,11.39,2.68,0.185,0.126,5.33,14.04,2.14,11.19,3.7,1.38,4.74,0.84,5.72,1.21,3.55,0.5,3.44,0.51,46.1,337,2.61,6.32,99,3.39,138,0.397,0.456,0.151,30,88,MORB,15.617,-46.669
51.36,1.8,14.98,10.17,0.19,7.2,10.8,3.04,0.269,0.189,7.92,19.95,2.89,14.69,4.64,1.66,5.96,1.02,6.69,1.42,4.13,0.58,3.85,0.57,66.6,206,3.52,9.46,86,5.08,167,0.585,0.615,0.188,38,135,MORB,15.623,-46.69
51.9,1.24,15.3,9.56,0.175,7.8,11.4,2.27,0.272,0.136,7.57,17.14,2.26,10.87,3.23,1.21,4.1,0.69,4.59,0.96,2.79,0.4,2.65,0.4,80,289,2.29,10.71,120,5.97,163,0.635,0.689,0.194,26,84,MORB,13.223,-44.825
50.9,1.06,15.3,9.03,0.166,9.1,11.99,2.16,0.204,0.103,5.64,13.5,1.79,8.63,2.46,0.94,3.02,0.5,3.27,0.69,1.98,0.28,1.83,0.27,50.8,402,1.72,7.1,158,3.79,154,0.428,0.456,0.132,18,67,MORB,14.752,-45.08
50.6,1.04,15.4,8.96,0.165,9.2,12.18,2.11,0.196,0.098,5.54,13.18,1.76,8.43,2.41,0.93,2.96,0.49,3.24,0.68,1.94,0.28,1.83,0.27,49.9,419,1.69,6.96,157,3.68,156,0.423,0.449,0.13,18,66,MORB,14.752,-45.08
50.8,1.03,15.4,8.94,0.164,9.1,12.08,2.14,0.196,0.099,5.48,13.26,1.77,8.36,2.38,0.94,2.89,0.48,3.18,0.66,1.91,0.27,1.8,0.26,50.5,414,1.65,6.83,157,3.7,154,0.419,0.446,0.132,18,63,MORB,14.752,-45.08
50.8,1.06,15.4,9.05,0.166,9.1,11.99,2.15,0.203,0.104,5.8,13.92,1.85,8.86,2.51,0.98,3.06,0.51,3.33,0.7,2.01,0.28,1.88,0.28,52.6,400,1.74,7.19,158,3.86,158,0.441,0.48,0.14,19,67,MORB,14.752,-45.08
50.6,1.04,15.6,8.98,0.165,9,12.16,2.14,0.196,0.101,5.77,13.76,1.84,8.82,2.54,0.98,3.11,0.52,3.39,0.71,2.02,0.29,1.91,0.29,52.4,410,1.77,7.1,152,3.79,161,0.444,0.482,0.135,19,67,MORB,14.752,-45.08
50.8,1.04,15.3,9.07,0.166,9.2,11.95,2.15,0.201,0.104,5.74,13.72,1.84,8.76,2.51,0.97,3.03,0.51,3.29,0.69,1.99,0.28,1.88,0.28,52.3,404,1.73,7.18,165,3.83,159,0.439,0.474,0.137,18,66,MORB,14.752,-45.08
49.5,1.03,16.4,9.27,0.172,9.5,11.75,2.17,0.202,0.091,5.65,13.39,1.79,8.59,2.49,0.96,3.04,0.51,3.32,0.7,2.01,0.28,1.89,0.28,51.1,468,1.75,6.99,185,3.72,159,0.437,0.471,0.133,18,66,MORB,14.752,-45.08
50.9,1.03,15.5,8.95,0.166,9.3,11.73,2.17,0.202,0.1,5.77,13.74,1.89,9.11,2.6,1,3.15,0.53,3.46,0.72,2.1,0.3,1.96,0.3,49.9,427,1.81,6.96,168,3.83,156,0.448,0.494,0.144,19,68,MORB,14.75,-45.08
51,1.03,15.5,8.92,0.165,9.3,11.69,2.13,0.199,0.103,5.88,13.75,1.92,9.27,2.67,1.02,3.25,0.55,3.58,0.74,2.14,0.31,2.03,0.31,50.5,407,1.87,6.83,167,3.85,154,0.461,0.491,0.147,20,71,MORB,14.75,-45.08
50.7,1.03,15.7,8.94,0.166,9.3,11.78,2.13,0.199,0.102,5.82,13.59,1.88,9.17,2.65,1.01,3.24,0.55,3.59,0.75,2.17,0.31,2.03,0.31,52.6,407,1.88,7.19,168,3.82,158,0.459,0.528,0.155,20,70,MORB,14.75,-45.08
50.7,1.04,15.6,8.97,0.166,9.3,11.79,2.14,0.201,0.101,5.79,13.73,1.9,9.16,2.65,1.01,3.17,0.53,3.5,0.74,2.13,0.3,2,0.3,52.4,418,1.85,7.1,167,3.81,161,0.455,0.531,0.15,19,69,MORB,14.75,-45.08
49.8,1.04,16.2,8.89,0.165,9.3,12.23,2.11,0.193,0.094,5.95,13.5,1.9,9.32,2.72,1.04,3.35,0.56,3.74,0.78,2.26,0.32,2.11,0.32,52.3,427,1.96,7.18,159,3.69,159,0.469,0.522,0.152,21,74,MORB,14.75,-45.08
51,1.31,15.5,9.4,0.172,7.8,11.89,2.46,0.3,0.143,5.37,12.88,1.76,8.52,2.42,0.94,2.94,0.49,3.24,0.67,1.94,0.27,1.84,0.27,49.9,234,1.67,6.87,96,3.76,158,0.417,0.458,0.134,18,65,MORB,14.867,-45.026
50.9,1.31,15.7,9.36,0.171,7.8,11.92,2.46,0.299,0.142,5.59,13.32,1.82,8.93,2.54,0.97,3.09,0.52,3.38,0.7,2.04,0.29,1.9,0.28,51.2,233,1.76,7.07,97,3.85,158,0.433,0.479,0.137,19,67,MORB,14.867,-45.026
50.6,1.02,16,8.96,0.167,8.8,11.95,2.21,0.222,0.107,5.81,13.59,1.8,8.72,2.45,0.95,3.05,0.52,3.4,0.71,2.1,0.3,1.98,0.3,58.3,370,1.7,7.8,137,4.65,131,0.478,0.525,0.151,19,64,MORB,14.958,-45.006
50.2,1.05,16,9.07,0.169,8.8,12.14,2.25,0.229,0.107,5.72,13.41,1.83,8.99,2.57,0.98,3.2,0.54,3.5,0.72,2.11,0.3,1.97,0.3,51.2,371,1.85,7.13,131,3.88,158,0.444,0.49,0.139,20,71,MORB,14.958,-45.006
50.5,1.04,15.9,9.07,0.168,8.8,12.04,2.22,0.227,0.106,5.31,12.68,1.73,8.39,2.4,0.93,2.94,0.49,3.23,0.68,1.94,0.28,1.85,0.27,49,370,1.68,6.77,136,3.7,154,0.414,0.451,0.133,18,64,MORB,14.958,-45.006
50.3,1.05,16,9.09,0.169,8.7,12.12,2.23,0.228,0.107,5.36,12.86,1.75,8.51,2.43,0.95,2.95,0.5,3.27,0.68,1.95,0.28,1.86,0.27,49.8,377,1.69,6.79,126,3.71,156,0.416,0.457,0.135,18,64,MORB,14.958,-45.006
50.3,1.04,16.1,9.02,0.168,8.7,12.07,2.22,0.224,0.107,5.56,13.39,1.82,8.87,2.52,0.97,3.04,0.51,3.31,0.7,2.01,0.28,1.9,0.28,51.6,369,1.75,7.15,135,3.9,157,0.432,0.47,0.139,19,67,MORB,14.958,-45.006
51.3,1.11,15.3,8.9,0.165,8.8,11.81,2.26,0.289,0.12,5.75,13.19,1.77,8.59,2.46,0.93,3.07,0.52,3.47,0.73,2.13,0.3,1.99,0.3,56.2,366,1.74,7.77,135,4.51,130,0.473,0.523,0.145,20,67,MORB,15.033,-44.939
51.4,1.11,15.2,8.9,0.166,8.9,11.78,2.26,0.289,0.119,5.82,13.44,1.79,8.69,2.49,0.93,3.1,0.53,3.49,0.73,2.13,0.3,2.02,0.31,57.4,362,1.73,7.83,133,4.64,130,0.479,0.53,0.148,20,67,MORB,15.033,-44.939
51.4,1.11,15.3,8.9,0.166,8.7,11.81,2.25,0.29,0.119,5.8,13.44,1.8,8.75,2.48,0.93,3.08,0.53,3.46,0.72,2.12,0.3,2.02,0.3,57.5,361,1.73,7.75,135,4.61,130,0.482,0.532,0.151,20,66,MORB,15.033,-44.939
51,1.11,15.4,8.9,0.166,8.9,11.84,2.24,0.288,0.119,5.69,13.33,1.77,8.47,2.42,0.93,3.01,0.51,3.37,0.71,2.06,0.3,1.98,0.3,56.7,363,1.68,7.76,119,4.62,130,0.469,0.518,0.148,19,64,MORB,15.033,-44.939
50.1,1.04,15.9,9.27,0.172,9.1,11.9,2.18,0.208,0.102,5.84,14.02,1.86,8.91,2.56,0.99,3.14,0.52,3.4,0.7,2.06,0.29,1.93,0.29,53.4,425,1.79,7.23,164,3.91,159,0.451,0.491,0.143,19,68,MORB,15.093,-44.948
52.6,1.42,15.2,9.2,0.17,7.1,11,2.56,0.514,0.171,13.05,27.82,3.43,15.38,3.89,1.4,4.33,0.69,4.31,0.88,2.46,0.34,2.26,0.34,151.8,260,2.81,20.05,80,11.73,240,1.217,1.334,0.367,23,110,MORB,14,-45.023
52.7,1.53,15,10.1,0.188,6.3,10.5,2.91,0.596,0.2,14.47,31.45,3.86,17.01,4.29,1.6,4.75,0.76,4.73,0.96,2.72,0.38,2.53,0.37,199.1,103,3.07,20.03,38,14.72,294,1.188,1.393,0.397,25,124,MORB,14.133,-44.983
52.7,1.26,15.4,9.1,0.161,7.6,10.72,2.43,0.445,0.159,12.06,26.07,3.2,14.08,3.46,1.28,3.8,0.61,3.74,0.77,2.15,0.3,2,0.3,126.1,266,2.43,16.87,108,9.28,251,1.002,1.148,0.323,20,98,MORB,14.2,-44.877
52,1.01,15.5,8.5,0.159,8.5,11.88,2.13,0.203,0.109,11.15,24.23,2.95,12.96,3.23,1.19,3.55,0.56,3.55,0.72,2.03,0.29,1.87,0.28,116.7,280,2.25,15.44,113,8.64,245,0.915,1.052,0.298,19,91,MORB,14.2,-44.877
51.6,0.95,15.7,8.63,0.163,8.3,12.12,2.19,0.233,0.093,6.15,14.4,1.87,8.87,2.47,1,2.98,0.5,3.23,0.69,1.95,0.27,1.84,0.28,67.1,365,1.7,7.92,117,4.77,179,0.489,0.537,0.158,18,61,MORB,14.563,-44.975
51.2,1.1,15.9,8.8,0.163,8.4,11.67,2.31,0.333,0.122,8.32,18.91,2.35,10.71,2.85,1.1,3.27,0.53,3.41,0.7,2.02,0.29,1.89,0.28,93.6,309,1.98,11.6,119,6.91,207,0.708,0.774,0.228,18,76,MORB,14.563,-44.975
51.7,1.35,15.1,9.41,0.174,7.5,11.88,2.45,0.31,0.142,8.3,18.85,2.5,11.71,3.28,1.21,3.87,0.64,4.11,0.85,2.44,0.35,2.26,0.34,83.7,241,2.28,11.39,85,6.01,178,0.683,0.717,0.197,23,92,MORB,14.867,-45.026
51,1.41,15.2,9.4,0.173,8.4,11.24,2.58,0.455,0.194,9.59,21.96,2.78,12.27,3.09,1.15,3.35,0.55,3.44,0.71,2.02,0.28,1.92,0.28,108.1,350,2.13,15.22,135,9.85,180,0.835,1.177,0.335,23,89,MORB,14.89,-44.94
50.9,1.21,15.8,9,0.168,8.1,12.03,2.38,0.331,0.146,8.62,19.37,2.58,11.98,3.17,1.16,3.74,0.62,3.94,0.82,2.35,0.33,2.19,0.33,94,335,2.27,12.34,120,7.25,189,0.768,0.872,0.239,22,91,MORB,14.9,-44.9
50.5,1.21,16.1,8.9,0.167,8,12.3,2.41,0.321,0.137,6.74,16.14,2.07,9.4,2.45,0.94,2.71,0.45,2.85,0.59,1.68,0.24,1.6,0.24,77.3,344,1.6,10.35,101,6.66,157,0.555,0.769,0.223,19,67,MORB,14.9,-44.9
